id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
2,False,47,48,48,0,48
3,False,67,68,50,0,50
4,False,10,11,33,1,32
5,False,11,12,11,0,11
6,True,1441,500,1017,16,1001
7,False,28,29,57,1,56
8,False,79,80,50,10,40
9,False,77,78,29,3,26
10,False,29,30,26,1,25
11,True,1776,500,759,251,508
12,False,13,14,9,0,9
13,True,1787,500,895,322,573
14,False,41,42,42,0,42
15,False,57,58,30,1,29
16,False,167,168,103,0,103
17,False,35,36,38,0,38
18,False,79,80,66,1,65
19,False,92,93,47,0,47
20,False,140,141,57,4,53
21,False,274,275,110,6,104
22,False,94,95,42,0,42
23,False,38,39,40,0,40
24,False,53,54,68,0,68
25,True,1388,500,1104,24,1080
26,False,38,39,70,0,70
27,False,33,34,41,1,40
28,False,87,88,129,0,129
29,False,389,390,309,3,306
30,False,32,33,40,0,40
31,False,146,147,116,1,115
32,False,119,120,89,1,88
33,False,78,79,80,0,80
34,True,7614,500,6629,176,6453
35,False,6,7,13,0,13
36,False,63,64,53,1,52
37,False,52,53,46,0,46
38,False,30,31,51,1,50
39,False,89,90,51,1,50
40,False,41,42,52,0,52
41,False,185,186,149,1,148
42,False,43,44,49,0,49
43,False,52,53,51,0,51
44,False,22,23,15,0,15
45,False,195,196,192,4,188
46,False,98,99,76,0,76
47,False,15,16,6,0,6
48,False,255,256,170,0,170
49,False,17,18,6,1,5
50,False,35,36,13,0,13
51,False,31,32,11,0,11
52,False,40,41,20,0,20
53,False,7,8,4,0,4
54,False,41,42,15,0,15
55,False,111,112,126,0,126
56,False,75,76,66,0,66
57,False,69,70,38,0,38
58,False,49,50,41,1,40
59,False,165,166,112,3,109
60,False,35,36,31,0,31
61,False,20,21,4,0,4
62,False,291,292,203,1,202
63,False,39,40,21,0,21
64,True,3612,500,3176,44,3132
65,False,50,51,157,1,156
66,True,807,500,577,6,571
67,False,124,125,72,0,72
68,False,78,79,52,2,50
69,False,66,67,39,2,37
70,False,421,422,255,3,252
71,False,119,120,84,0,84
72,False,127,128,101,1,100
73,False,49,50,34,0,34
74,False,49,50,34,0,34
75,False,53,54,31,0,31
76,False,37,38,13,0,13
77,False,429,430,303,1,302
78,False,38,39,49,0,49
79,False,182,183,130,1,129
80,False,29,30,33,0,33
81,False,42,43,48,1,47
82,False,168,169,147,3,144
83,False,56,57,88,6,82
84,False,32,33,18,2,16
85,False,29,30,15,0,15
86,False,468,469,318,3,315
87,False,147,148,99,2,97
88,False,35,36,22,0,22
89,False,114,115,76,0,76
90,False,56,57,22,0,22
91,False,4,5,37,0,37
92,True,4286,500,3883,184,3699
93,False,59,60,67,2,65
94,False,414,415,244,2,242
95,False,32,33,12,0,12
96,False,41,42,25,0,25
97,False,152,153,186,1,185
98,False,19,20,9,0,9
99,False,259,260,107,30,77
100,False,119,120,76,0,76
101,False,20,21,9,0,9
102,False,52,53,80,0,80
103,False,108,109,62,0,62
104,False,16,17,65,0,65
105,False,71,72,59,2,57
106,False,30,31,17,0,17
107,False,95,96,102,1,101
108,False,208,209,119,2,117
109,False,55,56,52,0,52
110,False,17,18,9,0,9
111,False,41,42,25,0,25
112,False,14,15,11,0,11
113,False,50,51,49,0,49
114,False,400,401,253,0,253
115,False,45,46,36,0,36
