id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances,vocab
,,,,,,,
412,FALSE,391,392,302,0,302,/m/017s11
,,,,,,,
358,FALSE,391,392,291,0,291,/m/0gq_v
,,,,,,,
114,FALSE,400,401,253,0,253,/m/040njc
,,,,,,,
1062,FALSE,339,340,242,0,242,/m/0gr0m
,,,,,,,
1021,FALSE,243,244,237,0,237,/m/016t_3
,,,,,,,
1656,FALSE,363,364,223,0,223,/m/0gr51
,,,,,,,
638,FALSE,213,214,222,0,222,/m/0g1rw
,,,,,,,
369,FALSE,208,209,212,0,212,/m/0bxtg
,,,,,,,
1306,FALSE,338,339,207,0,207,/m/01znc_
,,,,,,,
910,FALSE,320,321,206,0,206,/m/0l8z1
,,,,,,,
2048,FALSE,235,236,205,0,205,/m/03rj0
,,,,,,,
1732,FALSE,237,238,198,0,198,/m/02krf9
,,,,,,,
603,FALSE,238,239,187,0,187,/m/094qd5
,,,,,,,
468,FALSE,250,251,180,0,180,/m/02n4kr
,,,,,,,
846,FALSE,238,239,172,0,172,/m/06n90
,,,,,,,
5200,FALSE,23,24,171,0,171,/m/03zv9
,,,,,,,
48,FALSE,255,256,170,0,170,/m/027dtxw
,,,,,,,
1796,FALSE,202,203,164,0,164,/m/07c52
,,,,,,,
3171,FALSE,144,145,163,0,163,/m/01w5m
,,,,,,,
931,FALSE,219,220,162,0,162,/m/07bdd_
,,,,,,,
4476,FALSE,279,280,156,0,156,/m/03spz
,,,,,,,
1128,FALSE,188,189,155,0,155,/m/07cbcy
,,,,,,,
2638,FALSE,220,221,154,0,154,/m/02ppm4q
,,,,,,,
2018,FALSE,185,186,153,0,153,/m/01vs_v8
,,,,,,,
2319,FALSE,156,157,152,0,152,/m/024rgt
,,,,,,,
3989,FALSE,71,72,151,0,151,/m/0ccvx
,,,,,,,
1810,FALSE,157,158,147,0,147,/m/05p1dby
,,,,,,,
1859,FALSE,127,128,147,0,147,/m/0bdw6t
,,,,,,,
1149,FALSE,146,147,146,0,146,/m/0pz91
,,,,,,,
2373,FALSE,151,152,144,0,144,/m/062z7
,,,,,,,
538,FALSE,246,247,143,0,143,/m/0cqhk0
,,,,,,,
1804,FALSE,206,207,143,0,143,/m/0cjyzs
,,,,,,,
2396,FALSE,235,236,141,0,141,/m/06f32
,,,,,,,
3924,FALSE,37,38,141,0,141,/m/02qhlwd
,,,,,,,
1019,FALSE,244,245,140,0,140,/m/02pqp12
,,,,,,,
1359,FALSE,159,160,140,0,140,/m/06cgy
,,,,,,,
287,FALSE,182,183,137,0,137,/m/05zr6wv
,,,,,,,
4270,FALSE,134,135,137,0,137,/m/09yrh
,,,,,,,
8978,FALSE,64,65,137,0,137,/m/01gkmx
,,,,,,,
2004,FALSE,130,131,136,0,136,/m/026c1
,,,,,,,
3389,FALSE,95,96,136,0,136,/m/03m6t5
,,,,,,,
4515,FALSE,126,127,136,0,136,/m/0bksh
,,,,,,,
7267,FALSE,173,174,136,0,136,/m/0bwfn
,,,,,,,
2217,FALSE,150,151,135,0,135,/m/0jfx1
,,,,,,,
791,FALSE,173,174,134,0,134,/m/0n1h
,,,,,,,
392,FALSE,106,107,133,0,133,/m/0147dk
,,,,,,,
2155,FALSE,229,230,133,0,133,/m/02qvyrt
,,,,,,,
3157,FALSE,87,88,133,0,133,/m/02bh9
,,,,,,,
5912,FALSE,175,176,133,0,133,/m/07r1h
,,,,,,,
7679,FALSE,69,70,132,0,132,/m/04__f
,,,,,,,
168,FALSE,148,149,131,0,131,/m/06dv3
,,,,,,,
1644,FALSE,131,132,130,0,130,/m/017jv5
,,,,,,,
3654,FALSE,122,123,130,0,130,/m/0p_47
,,,,,,,
4297,FALSE,190,191,130,0,130,/m/01gb54
,,,,,,,
28,FALSE,87,88,129,0,129,/m/0ds35l9
,,,,,,,
4506,FALSE,150,151,128,0,128,/m/0d1pc
,,,,,,,
4690,FALSE,149,150,128,0,128,/m/09889g
,,,,,,,
8514,FALSE,97,98,128,0,128,/m/0227vl
,,,,,,,
1698,FALSE,41,42,127,0,127,/m/01yc02
,,,,,,,
2214,FALSE,83,84,127,0,127,/m/0cc5mcj
,,,,,,,
55,FALSE,111,112,126,0,126,/m/08815
,,,,,,,
2222,FALSE,55,56,126,0,126,/m/072twv
,,,,,,,
237,FALSE,201,202,124,0,124,/m/04gzd
,,,,,,,
1342,FALSE,222,223,124,0,124,/m/06c1y
,,,,,,,
1707,FALSE,199,200,124,0,124,/m/01p1v
,,,,,,,
2817,FALSE,182,183,124,0,124,/m/05bt6j
,,,,,,,
8437,FALSE,58,59,124,0,124,/m/01yf85
,,,,,,,
995,FALSE,170,171,123,0,123,/m/047yc
,,,,,,,
4505,FALSE,51,52,123,0,123,/m/06kl78
,,,,,,,
7068,FALSE,86,87,123,0,123,/m/026r8q
,,,,,,,
202,FALSE,209,210,120,0,120,/m/016clz
,,,,,,,
221,FALSE,81,82,120,0,120,/m/07gp9
,,,,,,,
749,FALSE,165,166,120,0,120,/m/07fb8_
,,,,,,,
4071,FALSE,107,108,120,0,120,/m/0bpm4yw
,,,,,,,
5129,FALSE,55,56,120,0,120,/m/0bhwhj
,,,,,,,
956,FALSE,118,119,119,0,119,/m/0cc56
,,,,,,,
547,FALSE,165,166,118,0,118,/m/05b1610
,,,,,,,
3185,FALSE,147,148,118,0,118,/m/03ksy
,,,,,,,
6048,FALSE,181,182,118,0,118,/m/018ygt
,,,,,,,
6631,FALSE,190,191,118,0,118,/m/02qyntr
,,,,,,,
787,FALSE,80,81,117,0,117,/m/0cwy47
,,,,,,,
242,FALSE,154,155,116,0,116,/m/05f4m9q
,,,,,,,
2381,FALSE,101,102,116,0,116,/m/04xrx
,,,,,,,
3252,FALSE,150,151,116,0,116,/m/05ztrmj
,,,,,,,
1366,FALSE,95,96,115,0,115,/m/030_1m
,,,,,,,
1255,FALSE,154,155,113,0,113,/m/033tf_
,,,,,,,
2149,FALSE,129,130,113,0,113,/m/016z2j
,,,,,,,
3018,FALSE,139,140,113,0,113,/m/015_1q
,,,,,,,
4635,FALSE,31,32,112,0,112,/m/01j6t0
,,,,,,,
11913,FALSE,34,35,112,0,112,/m/01mbwlb
,,,,,,,
985,FALSE,97,98,111,0,111,/m/0c0nhgv
,,,,,,,
2353,FALSE,176,177,111,0,111,/m/054ks3
,,,,,,,
2689,FALSE,113,114,111,0,111,/m/03rhqg
,,,,,,,
5183,FALSE,111,112,111,0,111,/m/020_95
,,,,,,,
609,FALSE,152,153,110,0,110,/m/06npd
,,,,,,,
3030,FALSE,185,186,110,0,110,/m/06t8v
,,,,,,,
3971,FALSE,62,63,110,0,110,/m/03176f
,,,,,,,
4561,FALSE,49,50,110,0,110,/m/02fttd
,,,,,,,
2039,FALSE,136,137,109,0,109,/m/0f4vbz
,,,,,,,
2458,FALSE,147,148,109,0,109,/m/0kpl
,,,,,,,
9311,FALSE,3,4,109,0,109,/m/024jvz
,,,,,,,
840,FALSE,155,156,108,0,108,/m/03c7tr1
,,,,,,,
1447,FALSE,73,74,108,0,108,/m/0156q
,,,,,,,
2596,FALSE,22,23,108,0,108,/m/047hpm
,,,,,,,
4863,FALSE,56,57,108,0,108,/m/053y4h
,,,,,,,
292,FALSE,70,71,107,0,107,/m/07xtqq
,,,,,,,
1940,FALSE,138,139,107,0,107,/m/01795t
,,,,,,,
4360,FALSE,164,165,107,0,107,/m/05qtj
,,,,,,,
6682,FALSE,71,72,107,0,107,/m/071vr
,,,,,,,
1033,FALSE,171,172,106,0,106,/m/07xzm
,,,,,,,
2055,FALSE,164,165,106,0,106,/m/05dbf
,,,,,,,
3896,FALSE,36,37,106,0,106,/m/02qzh2
,,,,,,,
10169,FALSE,48,49,106,0,106,/m/06s_2
,,,,,,,
597,FALSE,141,142,105,0,105,/m/02w7gg
,,,,,,,
1282,FALSE,127,128,105,0,105,/m/05qx1
,,,,,,,
6609,FALSE,110,111,105,0,105,/m/03bxz7
,,,,,,,
6747,FALSE,48,49,105,0,105,/m/0261x8t
,,,,,,,
3326,FALSE,104,105,104,0,104,/m/07hwkr
,,,,,,,
16,FALSE,167,168,103,0,103,/m/02qyp19
,,,,,,,
691,FALSE,99,100,103,0,103,/m/02q_cc
,,,,,,,
1226,FALSE,32,33,103,0,103,/m/0162c8
,,,,,,,
3583,FALSE,33,34,103,0,103,/m/05qck
,,,,,,,
4697,FALSE,28,29,103,0,103,/m/0fb7sd
,,,,,,,
1976,FALSE,149,150,102,0,102,/m/0bfvd4
,,,,,,,
3144,FALSE,99,100,102,0,102,/m/015f7
,,,,,,,
504,FALSE,141,142,101,0,101,/m/02hsq3m
,,,,,,,
1504,FALSE,76,77,101,0,101,/m/094jv
,,,,,,,
2459,FALSE,62,63,101,0,101,/m/047svrl
,,,,,,,
2565,FALSE,153,154,101,0,101,/m/0lpjn
,,,,,,,
3022,FALSE,92,93,101,0,101,/m/0vzm
,,,,,,,
1674,FALSE,79,80,100,0,100,/m/03k50
,,,,,,,
3045,FALSE,138,139,100,0,100,/m/0gy6z9
,,,,,,,
5985,FALSE,71,72,100,0,100,/m/0dq9p
,,,,,,,
449,FALSE,118,119,99,0,99,/m/06pwq
,,,,,,,
1482,FALSE,87,88,99,0,99,/m/07szy
,,,,,,,
4458,FALSE,89,90,99,0,99,/m/015cjr
,,,,,,,
4552,FALSE,53,54,99,0,99,/m/0c7xjb
,,,,,,,
5179,FALSE,58,59,99,0,99,/m/02lhm2
,,,,,,,
6172,FALSE,87,88,99,0,99,/m/0404j37
,,,,,,,
741,FALSE,115,116,98,0,98,/m/02x1dht
,,,,,,,
2234,FALSE,79,80,98,0,98,/m/01cwhp
,,,,,,,
2494,FALSE,100,101,98,0,98,/m/01wwvc5
,,,,,,,
5354,FALSE,41,42,98,0,98,/m/0bx_q
,,,,,,,
6578,FALSE,45,46,98,0,98,/m/0jkhr
,,,,,,,
6681,FALSE,74,75,98,0,98,/m/06c62
,,,,,,,
7701,FALSE,108,109,98,0,98,/m/020h2v
,,,,,,,
8075,FALSE,27,28,98,0,98,/m/01hjy5
,,,,,,,
11024,FALSE,23,24,98,0,98,/m/0l9k1
,,,,,,,
643,FALSE,71,72,97,0,97,/m/018db8
,,,,,,,
2301,FALSE,98,99,97,0,97,/m/0kszw
,,,,,,,
3837,FALSE,90,91,97,0,97,/m/01lj9
,,,,,,,
3859,FALSE,49,50,97,0,97,/m/01wv9p
,,,,,,,
5531,FALSE,99,100,97,0,97,/m/0fj9f
,,,,,,,
4307,FALSE,82,83,96,0,96,/m/02dbp7
,,,,,,,
4466,FALSE,63,64,96,0,96,/m/03l2n
,,,,,,,
5964,FALSE,51,52,96,0,96,/m/0c12h
,,,,,,,
261,FALSE,129,130,95,0,95,/m/02vxn
,,,,,,,
485,FALSE,155,156,95,0,95,/m/09qwmm
,,,,,,,
1564,FALSE,120,121,95,0,95,/m/04rrd
,,,,,,,
1776,FALSE,101,102,95,0,95,/m/09k56b7
,,,,,,,
1905,FALSE,22,23,95,0,95,/m/05qw5
,,,,,,,
4102,FALSE,69,70,95,0,95,/m/02kxwk
,,,,,,,
4332,FALSE,66,67,95,0,95,/m/07t90
,,,,,,,
4827,FALSE,127,128,95,0,95,/m/01kb2j
,,,,,,,
8783,FALSE,28,29,95,0,95,/m/02x2t07
,,,,,,,
1324,FALSE,86,87,94,0,94,/m/04w7rn
,,,,,,,
3665,FALSE,123,124,94,0,94,/m/0gywn
,,,,,,,
4395,FALSE,114,115,94,0,94,/m/016vg8
,,,,,,,
5677,FALSE,121,122,94,0,94,/m/0dvld
,,,,,,,
649,FALSE,76,77,93,0,93,/m/03_gd
,,,,,,,
760,FALSE,29,30,93,0,93,/m/04411
,,,,,,,
1063,FALSE,103,104,93,0,93,/m/0h1nt
,,,,,,,
2129,FALSE,159,160,93,0,93,/m/01pgzn_
,,,,,,,
2885,FALSE,110,111,93,0,93,/m/07_jd
,,,,,,,
3742,FALSE,83,84,93,0,93,/m/01g23m
,,,,,,,
4235,FALSE,37,38,93,0,93,/m/0272_vz
,,,,,,,
5802,FALSE,54,55,93,0,93,/m/03hj5lq
,,,,,,,
9264,FALSE,15,16,93,0,93,/m/0_24q
,,,,,,,
542,FALSE,90,91,92,0,92,/m/0f2wj
,,,,,,,
1110,FALSE,43,44,92,0,92,/m/0bg539
,,,,,,,
1515,FALSE,155,156,92,0,92,/m/02y_rq5
,,,,,,,
1755,FALSE,114,115,92,0,92,/m/015h31
,,,,,,,
1973,FALSE,150,151,92,0,92,/m/02yvct
,,,,,,,
4442,FALSE,41,42,92,0,92,/m/01qvz8
,,,,,,,
5439,FALSE,35,36,92,0,92,/m/0bl5c
,,,,,,,
5992,FALSE,60,61,92,0,92,/m/03cp4cn
,,,,,,,
6258,FALSE,42,43,92,0,92,/m/01_6dw
,,,,,,,
8543,FALSE,22,23,92,0,92,/m/020ddc
,,,,,,,
683,FALSE,35,36,91,0,91,/m/025xt8y
,,,,,,,
1197,FALSE,132,133,91,0,91,/m/0dtfn
,,,,,,,
1538,FALSE,139,140,91,0,91,/m/015rkw
,,,,,,,
1895,FALSE,64,65,91,0,91,/m/01wxyx1
,,,,,,,
2770,FALSE,111,112,91,0,91,/m/01531
,,,,,,,
3230,FALSE,128,129,91,0,91,/m/0m7yy
,,,,,,,
3952,FALSE,81,82,91,0,91,/m/0hfzr
,,,,,,,
4132,FALSE,141,142,91,0,91,/m/0gyx4
,,,,,,,
3439,FALSE,59,60,90,0,90,/m/016fjj
,,,,,,,
7135,FALSE,91,92,90,0,90,/m/04hqz
,,,,,,,
8614,FALSE,25,26,90,0,90,/m/02byfd
,,,,,,,
11598,FALSE,41,42,90,0,90,/m/018p4y
,,,,,,,
257,FALSE,129,130,89,0,89,/m/01wbg84
,,,,,,,
957,FALSE,135,136,89,0,89,/m/0bdwft
,,,,,,,
3555,FALSE,26,27,89,0,89,/m/0164nb
,,,,,,,
3953,FALSE,28,29,89,0,89,/m/02v406
,,,,,,,
4513,FALSE,44,45,89,0,89,/m/017cy9
,,,,,,,
5508,FALSE,51,52,89,0,89,/m/03ktjq
,,,,,,,
6089,FALSE,38,39,89,0,89,/m/03n3gl
,,,,,,,
6263,FALSE,28,29,89,0,89,/m/07g7h2
,,,,,,,
6400,FALSE,115,116,89,0,89,/m/05gnf
,,,,,,,
6869,FALSE,37,38,89,0,89,/m/053xw6
,,,,,,,
9721,FALSE,30,31,89,0,89,/m/01p47r
,,,,,,,
171,FALSE,86,87,88,0,88,/m/0dq3c
,,,,,,,
332,FALSE,134,135,88,0,88,/m/02j9z
,,,,,,,
476,FALSE,154,155,88,0,88,/m/02k54
,,,,,,,
1958,FALSE,42,43,88,0,88,/m/051vz
,,,,,,,
4166,FALSE,46,47,88,0,88,/m/0pd4f
,,,,,,,
6884,FALSE,62,63,88,0,88,/m/0ffgh
,,,,,,,
12561,FALSE,2,3,88,0,88,/m/0154yf
,,,,,,,
529,FALSE,160,161,87,0,87,/m/0146pg
,,,,,,,
896,FALSE,34,35,87,0,87,/m/049dyj
,,,,,,,
1341,FALSE,81,82,87,0,87,/m/02r1c18
,,,,,,,
1794,FALSE,81,82,87,0,87,/m/031778
,,,,,,,
2166,FALSE,81,82,87,0,87,/m/01_x6v
,,,,,,,
2963,FALSE,67,68,87,0,87,/m/01vwllw
,,,,,,,
8264,FALSE,32,33,87,0,87,/m/01934k
,,,,,,,
566,FALSE,45,46,86,0,86,/m/05gml8
,,,,,,,
1191,FALSE,106,107,86,0,86,/m/0dl5d
,,,,,,,
1303,FALSE,119,120,86,0,86,/m/011yqc
,,,,,,,
2742,FALSE,32,33,86,0,86,/m/03hrz
,,,,,,,
2928,FALSE,62,63,86,0,86,/m/01w7nwm
,,,,,,,
3123,FALSE,61,62,86,0,86,/m/01vsy95
,,,,,,,
3253,FALSE,20,21,86,0,86,/m/03fmfs
,,,,,,,
3688,FALSE,43,44,86,0,86,/m/03__y
,,,,,,,
3759,FALSE,42,43,86,0,86,/m/0884hk
,,,,,,,
4490,FALSE,79,80,86,0,86,/m/06l3bl
,,,,,,,
8694,FALSE,21,22,86,0,86,/m/0677j
,,,,,,,
11517,FALSE,12,13,86,0,86,/m/03gdf1
,,,,,,,
12303,FALSE,29,30,86,0,86,/m/0cg9f
,,,,,,,
354,FALSE,95,96,85,0,85,/m/02dtg
,,,,,,,
867,FALSE,108,109,85,0,85,/m/08hmch
,,,,,,,
1198,FALSE,110,111,85,0,85,/m/0343h
,,,,,,,
3685,FALSE,75,76,85,0,85,/m/025v3k
,,,,,,,
4909,FALSE,102,103,85,0,85,/m/04gb7
,,,,,,,
5651,FALSE,118,119,85,0,85,/m/023kzp
,,,,,,,
7303,FALSE,48,49,85,0,85,/m/01wf86y
,,,,,,,
7350,FALSE,59,60,85,0,85,/m/0bcp9b
,,,,,,,
8859,FALSE,42,43,85,0,85,/m/06x77g
,,,,,,,
11501,FALSE,23,24,85,0,85,/m/067sqt
,,,,,,,
71,FALSE,119,120,84,0,84,/m/02r0csl
,,,,,,,
377,FALSE,149,150,84,0,84,/m/03_d0
,,,,,,,
1233,FALSE,49,50,84,0,84,/m/01qhm_
,,,,,,,
1536,FALSE,23,24,84,0,84,/m/01d494
,,,,,,,
2195,FALSE,165,166,84,0,84,/m/0169dl
,,,,,,,
2636,FALSE,80,81,84,0,84,/m/0hx4y
,,,,,,,
2776,FALSE,24,25,84,0,84,/m/015z4j
,,,,,,,
3072,FALSE,99,100,84,0,84,/m/03bnv
,,,,,,,
3153,FALSE,55,56,84,0,84,/m/07ym6ss
,,,,,,,
4049,FALSE,77,78,84,0,84,/m/07rd7
,,,,,,,
4669,FALSE,94,95,84,0,84,/m/05hjnw
,,,,,,,
6582,FALSE,140,141,84,0,84,/m/018wdw
,,,,,,,
6616,FALSE,62,63,84,0,84,/m/0cwx_
,,,,,,,
6656,FALSE,39,40,84,0,84,/m/0cgbf
,,,,,,,
11013,FALSE,13,14,84,0,84,/m/0mwkp
,,,,,,,
12765,FALSE,8,9,84,0,84,/m/0l8bg
,,,,,,,
895,FALSE,69,70,83,0,83,/m/092vkg
,,,,,,,
1108,FALSE,41,42,83,0,83,/m/03kwtb
,,,,,,,
1195,FALSE,123,124,83,0,83,/m/048lv
,,,,,,,
1287,FALSE,119,120,83,0,83,/m/01c6qp
,,,,,,,
1909,FALSE,93,94,83,0,83,/m/01kv4mb
,,,,,,,
2090,FALSE,70,71,83,0,83,/m/07wrz
,,,,,,,
2120,FALSE,49,50,83,0,83,/m/0jt90f5
,,,,,,,
2216,FALSE,120,121,83,0,83,/m/0237fw
,,,,,,,
2250,FALSE,119,120,83,0,83,/m/02x4x18
,,,,,,,
2424,FALSE,73,74,83,0,83,/m/043js
,,,,,,,
3335,FALSE,86,87,83,0,83,/m/03yj_0n
,,,,,,,
4386,FALSE,35,36,83,0,83,/m/0jsqk
,,,,,,,
4955,FALSE,57,58,83,0,83,/m/01pq5j7
,,,,,,,
5463,FALSE,44,45,83,0,83,/m/0h21v2
,,,,,,,
7711,FALSE,1,2,83,0,83,/m/03ljr
