02/01/2022 09:37:55 PM: [ reading vocab files... ]
02/01/2022 09:37:55 PM: [ Reading mid to name map ]
02/01/2022 09:37:55 PM: [ Done.. ]
02/01/2022 09:37:55 PM: [ Total number of entities 273 ]
02/01/2022 09:37:55 PM: [ Total number of relations 6 ]
02/01/2022 09:37:57 PM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000023D8334DE20>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
02/01/2022 09:37:57 PM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
02/01/2022 09:37:58 PM: [ batch_counter:    1, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0051 ]
02/01/2022 09:37:59 PM: [ batch_counter:    2, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0100 ]
02/01/2022 09:37:59 PM: [ batch_counter:    3, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0148 ]
02/01/2022 09:37:59 PM: [ batch_counter:    4, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0195 ]
02/01/2022 09:37:59 PM: [ batch_counter:    5, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0242 ]
02/01/2022 09:38:00 PM: [ batch_counter:    6, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0287 ]
02/01/2022 09:38:00 PM: [ batch_counter:    7, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0331 ]
02/01/2022 09:38:00 PM: [ batch_counter:    8, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0375 ]
02/01/2022 09:38:01 PM: [ batch_counter:    9, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0417 ]
02/01/2022 09:38:01 PM: [ batch_counter:   10, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0459 ]
02/01/2022 09:38:01 PM: [ batch_counter:   11, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0500 ]
02/01/2022 09:38:01 PM: [ batch_counter:   12, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0540 ]
02/01/2022 09:38:02 PM: [ batch_counter:   13, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0580 ]
02/01/2022 09:38:02 PM: [ batch_counter:   14, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0619 ]
02/01/2022 09:38:02 PM: [ batch_counter:   15, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0656 ]
02/01/2022 09:38:02 PM: [ batch_counter:   16, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0694 ]
02/01/2022 09:38:03 PM: [ batch_counter:   17, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0731 ]
02/01/2022 09:38:03 PM: [ batch_counter:   18, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0766 ]
02/01/2022 09:38:03 PM: [ batch_counter:   19, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0801 ]
02/01/2022 09:38:03 PM: [ batch_counter:   20, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0836 ]
02/01/2022 09:38:03 PM: [ batch_counter:   21, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0869 ]
02/01/2022 09:38:04 PM: [ batch_counter:   22, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0903 ]
02/01/2022 09:38:04 PM: [ batch_counter:   23, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0935 ]
02/01/2022 09:38:04 PM: [ batch_counter:   24, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0966 ]
02/01/2022 09:38:05 PM: [ batch_counter:   25, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.0998 ]
02/01/2022 09:38:05 PM: [ batch_counter:   26, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1028 ]
02/01/2022 09:38:05 PM: [ batch_counter:   27, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1058 ]
02/01/2022 09:38:05 PM: [ batch_counter:   28, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1088 ]
02/01/2022 09:38:06 PM: [ batch_counter:   29, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1116 ]
02/01/2022 09:38:06 PM: [ batch_counter:   30, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1145 ]
02/01/2022 09:38:06 PM: [ batch_counter:   31, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1172 ]
02/01/2022 09:38:06 PM: [ batch_counter:   32, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1199 ]
02/01/2022 09:38:07 PM: [ batch_counter:   33, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1226 ]
02/01/2022 09:38:07 PM: [ batch_counter:   34, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1252 ]
02/01/2022 09:38:07 PM: [ batch_counter:   35, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1277 ]
02/01/2022 09:38:08 PM: [ batch_counter:   36, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1302 ]
02/01/2022 09:38:08 PM: [ batch_counter:   37, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1326 ]
