01/27/2022 10:46:55 AM: [ reading vocab files... ]
01/27/2022 10:46:55 AM: [ Reading mid to name map ]
01/27/2022 10:46:55 AM: [ Done.. ]
01/27/2022 10:46:55 AM: [ Total number of entities 273 ]
01/27/2022 10:46:55 AM: [ Total number of relations 6 ]
01/27/2022 10:46:59 AM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000021B8237B940>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
01/27/2022 10:46:59 AM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
01/27/2022 10:47:01 AM: [ batch_counter:    1, num_hits: 361.0000, avg. reward per batch  0.1410, num_ep_correct  118, avg_ep_correct  0.9219, train loss -0.0072 ]
01/27/2022 10:47:01 AM: [ batch_counter:    2, num_hits: 334.0000, avg. reward per batch  0.1305, num_ep_correct  119, avg_ep_correct  0.9297, train loss -0.0142 ]
01/27/2022 10:47:01 AM: [ batch_counter:    3, num_hits: 388.0000, avg. reward per batch  0.1516, num_ep_correct  120, avg_ep_correct  0.9375, train loss -0.0213 ]
01/27/2022 10:47:01 AM: [ batch_counter:    4, num_hits: 390.0000, avg. reward per batch  0.1523, num_ep_correct  119, avg_ep_correct  0.9297, train loss -0.0280 ]
01/27/2022 10:47:02 AM: [ batch_counter:    5, num_hits: 426.0000, avg. reward per batch  0.1664, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.0349 ]
01/27/2022 10:47:02 AM: [ batch_counter:    6, num_hits: 364.0000, avg. reward per batch  0.1422, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0416 ]
01/27/2022 10:47:02 AM: [ batch_counter:    7, num_hits: 368.0000, avg. reward per batch  0.1437, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0483 ]
01/27/2022 10:47:03 AM: [ batch_counter:    8, num_hits: 397.0000, avg. reward per batch  0.1551, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.0548 ]
01/27/2022 10:47:03 AM: [ batch_counter:    9, num_hits: 384.0000, avg. reward per batch  0.1500, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.0613 ]
01/27/2022 10:47:03 AM: [ batch_counter:   10, num_hits: 396.0000, avg. reward per batch  0.1547, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0675 ]
01/27/2022 10:47:03 AM: [ batch_counter:   11, num_hits: 391.0000, avg. reward per batch  0.1527, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.0736 ]
01/27/2022 10:47:04 AM: [ batch_counter:   12, num_hits: 398.0000, avg. reward per batch  0.1555, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0797 ]
01/27/2022 10:47:04 AM: [ batch_counter:   13, num_hits: 405.0000, avg. reward per batch  0.1582, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0857 ]
01/27/2022 10:47:04 AM: [ batch_counter:   14, num_hits: 388.0000, avg. reward per batch  0.1516, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0915 ]
01/27/2022 10:47:04 AM: [ batch_counter:   15, num_hits: 396.0000, avg. reward per batch  0.1547, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.0975 ]
01/27/2022 10:47:05 AM: [ batch_counter:   16, num_hits: 413.0000, avg. reward per batch  0.1613, num_ep_correct  119, avg_ep_correct  0.9297, train loss -0.1032 ]
01/27/2022 10:47:05 AM: [ batch_counter:   17, num_hits: 403.0000, avg. reward per batch  0.1574, num_ep_correct  120, avg_ep_correct  0.9375, train loss -0.1092 ]
01/27/2022 10:47:05 AM: [ batch_counter:   18, num_hits: 363.0000, avg. reward per batch  0.1418, num_ep_correct  121, avg_ep_correct  0.9453, train loss -0.1146 ]
01/27/2022 10:47:05 AM: [ batch_counter:   19, num_hits: 405.0000, avg. reward per batch  0.1582, num_ep_correct  121, avg_ep_correct  0.9453, train loss -0.1201 ]
01/27/2022 10:47:06 AM: [ batch_counter:   20, num_hits: 439.0000, avg. reward per batch  0.1715, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.1256 ]
01/27/2022 10:47:06 AM: [ batch_counter:   21, num_hits: 425.0000, avg. reward per batch  0.1660, num_ep_correct  120, avg_ep_correct  0.9375, train loss -0.1314 ]
01/27/2022 10:47:06 AM: [ batch_counter:   22, num_hits: 408.0000, avg. reward per batch  0.1594, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.1367 ]
01/27/2022 10:47:07 AM: [ batch_counter:   23, num_hits: 411.0000, avg. reward per batch  0.1605, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.1420 ]
01/27/2022 10:47:07 AM: [ batch_counter:   24, num_hits: 412.0000, avg. reward per batch  0.1609, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.1471 ]
01/27/2022 10:47:07 AM: [ batch_counter:   25, num_hits: 399.0000, avg. reward per batch  0.1559, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.1520 ]
01/27/2022 10:47:07 AM: [ batch_counter:   26, num_hits: 383.0000, avg. reward per batch  0.1496, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.1570 ]
01/27/2022 10:47:08 AM: [ batch_counter:   27, num_hits: 452.0000, avg. reward per batch  0.1766, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.1622 ]
01/27/2022 10:47:08 AM: [ batch_counter:   28, num_hits: 413.0000, avg. reward per batch  0.1613, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.1673 ]
01/27/2022 10:47:08 AM: [ batch_counter:   29, num_hits: 424.0000, avg. reward per batch  0.1656, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.1721 ]
01/27/2022 10:47:08 AM: [ batch_counter:   30, num_hits: 416.0000, avg. reward per batch  0.1625, num_ep_correct  121, avg_ep_correct  0.9453, train loss -0.1768 ]
01/27/2022 10:47:09 AM: [ batch_counter:   31, num_hits: 434.0000, avg. reward per batch  0.1695, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.1817 ]
01/27/2022 10:47:09 AM: [ batch_counter:   32, num_hits: 402.0000, avg. reward per batch  0.1570, num_ep_correct  119, avg_ep_correct  0.9297, train loss -0.1861 ]
01/27/2022 10:47:09 AM: [ batch_counter:   33, num_hits: 410.0000, avg. reward per batch  0.1602, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.1907 ]
01/27/2022 10:47:09 AM: [ batch_counter:   34, num_hits: 431.0000, avg. reward per batch  0.1684, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.1952 ]
01/27/2022 10:47:10 AM: [ batch_counter:   35, num_hits: 417.0000, avg. reward per batch  0.1629, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.1995 ]
01/27/2022 10:47:10 AM: [ batch_counter:   36, num_hits: 418.0000, avg. reward per batch  0.1633, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2039 ]
01/27/2022 10:47:10 AM: [ batch_counter:   37, num_hits: 435.0000, avg. reward per batch  0.1699, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2082 ]
01/27/2022 10:47:10 AM: [ batch_counter:   38, num_hits: 442.0000, avg. reward per batch  0.1727, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2127 ]
01/27/2022 10:47:11 AM: [ batch_counter:   39, num_hits: 434.0000, avg. reward per batch  0.1695, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2169 ]
01/27/2022 10:47:11 AM: [ batch_counter:   40, num_hits: 445.0000, avg. reward per batch  0.1738, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2210 ]
01/27/2022 10:47:11 AM: [ batch_counter:   41, num_hits: 441.0000, avg. reward per batch  0.1723, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2250 ]
01/27/2022 10:47:12 AM: [ batch_counter:   42, num_hits: 455.0000, avg. reward per batch  0.1777, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2292 ]
01/27/2022 10:47:12 AM: [ batch_counter:   43, num_hits: 432.0000, avg. reward per batch  0.1688, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2333 ]
01/27/2022 10:47:12 AM: [ batch_counter:   44, num_hits: 428.0000, avg. reward per batch  0.1672, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2370 ]
01/27/2022 10:47:12 AM: [ batch_counter:   45, num_hits: 417.0000, avg. reward per batch  0.1629, num_ep_correct  116, avg_ep_correct  0.9062, train loss -0.2406 ]
01/27/2022 10:47:13 AM: [ batch_counter:   46, num_hits: 434.0000, avg. reward per batch  0.1695, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2441 ]
01/27/2022 10:47:13 AM: [ batch_counter:   47, num_hits: 457.0000, avg. reward per batch  0.1785, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2479 ]
01/27/2022 10:47:13 AM: [ batch_counter:   48, num_hits: 446.0000, avg. reward per batch  0.1742, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2519 ]
01/27/2022 10:47:13 AM: [ batch_counter:   49, num_hits: 456.0000, avg. reward per batch  0.1781, num_ep_correct  125, avg_ep_correct  0.9766, train loss -0.2558 ]
01/27/2022 10:47:14 AM: [ batch_counter:   50, num_hits: 410.0000, avg. reward per batch  0.1602, num_ep_correct  121, avg_ep_correct  0.9453, train loss -0.2593 ]
01/27/2022 10:47:14 AM: [ batch_counter:   51, num_hits: 467.0000, avg. reward per batch  0.1824, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2634 ]
01/27/2022 10:47:14 AM: [ batch_counter:   52, num_hits: 462.0000, avg. reward per batch  0.1805, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2666 ]
01/27/2022 10:47:14 AM: [ batch_counter:   53, num_hits: 458.0000, avg. reward per batch  0.1789, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2701 ]
01/27/2022 10:47:15 AM: [ batch_counter:   54, num_hits: 450.0000, avg. reward per batch  0.1758, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2737 ]
01/27/2022 10:47:15 AM: [ batch_counter:   55, num_hits: 452.0000, avg. reward per batch  0.1766, num_ep_correct  122, avg_ep_correct  0.9531, train loss -0.2771 ]
01/27/2022 10:47:15 AM: [ batch_counter:   56, num_hits: 447.0000, avg. reward per batch  0.1746, num_ep_correct  127, avg_ep_correct  0.9922, train loss -0.2802 ]
01/27/2022 10:47:16 AM: [ batch_counter:   57, num_hits: 464.0000, avg. reward per batch  0.1812, num_ep_correct  124, avg_ep_correct  0.9688, train loss -0.2837 ]
01/27/2022 10:47:16 AM: [ batch_counter:   58, num_hits: 451.0000, avg. reward per batch  0.1762, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2869 ]
01/27/2022 10:47:16 AM: [ batch_counter:   59, num_hits: 443.0000, avg. reward per batch  0.1730, num_ep_correct  123, avg_ep_correct  0.9609, train loss -0.2900 ]
01/27/2022 10:47:16 AM: [ batch_counter:   60, num_hits: 475.0000, avg. reward per batch  0.1855, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.2931 ]
